원문,번역문
나는 내 집을 가져 많이 행복합니다.,I'm very happy to have my own house.
모든 시민이 빠른 치유가 있길 희망합니다.,All the citizens want it to be recovered as fast as possible.
나랑 내 남자친구는 영화 보는 걸 좋아해.,Me and my boyfriend like watching movies.
민원인의 문제를 해결할 때 기쁩니다.,I'm happy when I solve the complainant's problem.
일이 있어서 행복합니다.,I'm lucky I've got a job.
이 글은 제가 번역을 하는 친구에게 부탁해서 최대한 이해하기 쉽게 적은 것이에요.,This text is written as easy to understand as possible that I asked a friend to do the translation.
개인의 표현에 대한 집착을 초월하지 못하는 건축가에게 미래는 없습니다.,An architect who can't be beyond an obsession for individual expression has no future.
연구소와 확인해보니 우리가 제안한 FIT 개선 사항은 11월 둘째 주까지 테스트 완료될 수 있을 것으로 예상됩니다.,The test of FIT improvement which we have suggested is expected to be completed by the second week of November as we checked with the research lab.
나는 죽기 전에 가봐야 하는 1001 건물 중 하나인 엠파이어스테이트빌딩을 소개할 것이에요.,"I'm going to introduce the Empire State building, which is one of the 1001 buildings you have to visit before you die."
다음에 당신이 지난번에 말해 준 파크에 갈 것입니다.,I am going to the park you told me last time.
그녀는 아직 여권이 없습니다.,She doesn't have her passport yet.
나이는 정의될 수 없습니다.,Age will not be defined.
어제 술 많이 마셔서 오늘 너무 힘들어요.,It is so hard today because I drank too much yesterday.
요즘 러시아에서 유행하는 음악은 가수와 노래 제목 알려줘요.,Please tell me a popular singer and their title number trending in Russia.
우리가 일상생활과 주변 사람에 대한 소중함을 알게 해주기 때문에 나는 이것을 추천해요.,I recommend this because it makes us realize how our daily lives and the people around us are precious.
이런 말을 들으면 당신은 어떻게 느낄까요?,How would you feel if you hear something like this?
난 네가 비행기 타고 갈 줄 알았어.,I knew you were going to go by plane.
그 남자 들은 그 테이블 주위에 앉아 있습니다.,The guys were sitting around the table.
음료는 계산에서 제외해드리겠습니다.,I will exclude the drink from the bill.
그 내용을 다양한 시각에서 바라본 해결방안은 통계를 통해 설명하도록 하겠습니다.,We will explain the diverse solutions for the content through statistics.
나쁜 의도는 없지만 잘못된 편견을 갖고 말하는 남자들을 어떻게 극복해야 할까요?,How can I overcome those men who speak with wrong prejudice but without a bad intention?
결론적으로 효과가 없음을 알 수 있습니다.,We can see there's no effect on the conclusion.
아모레 퍼시픽은 자사 제품인 에어쿠션을 2008년에 시중에 출시했어요.,Amore Pacific released their Air Cushion in the market in 2008.
그는 당신이 한국에 오기 전에 고향에 다녀올 수 있도록 도와준다고 말했어요.,He said that he would help you go back to your hometown before coming to Korea.
나를 죽을 만큼 사랑해주는 사람을 만나.,Meet someone who loves me deathly.
왜 그렇게 꽃단장을 했어요?,Why are you so dressed up?
요즈음은 온라인 프로모션에서 성공하지 못해요면 성공적인 홍보 효과를 거두기 어려울 만큼 온라인 프로모션은 중요합니다.,"These days, online promotions are so important that if you don't succeed, you won't be able to achieve a successful promotion."
저는 지금 이걸 복사할거에요.,I will copy it right now.
그녀는 모든 것에 빈틈이 없어요.,She is alert to everything.
나는 자연의 소리와 벗이 되었어.,I became a friend with a sound of nature.
그래서 2주에 한 번씩 있는 휴무인 일요일이 제일 좋아요.,"So, I like biweekly day-off Sunday the most."
그가 조만간에 섬네일 스케치가 완성되면 당신에게 보낼 것입니다.,He will send you a thumbnail sketch once it is completed.
"우리는 5월 30일 이전에 게임을 오픈할 예정이지만, 오픈 후 업데이트도 가능합니다.","We are planning to open the game before May 30, but it can be updated after its opening."
이 카메라는 깊이정보를 2D 영상으로 결합해 시각적으로 표현 가능해요.,This camera can visualize DEPTH information by combining it into 2D images.
재활용이 왜 우리에게 필요할까?,Why do we need recycling?
저는 처음이라 서툴 수도 있어요.,"It's my first time, so I might not be good at it."
만약 2학기 때 학교에서 보인다면 못 갔다고 생각해주세요..,Please just think that I wasn't able to go if you see me at school during the second semester....
나는 지금까지 영어를 즐기지 못했어.,I have never enjoyed English until now.
"그 충동적인 결정 하나로 마을이 더욱 경제적으로 성공 할 수도 있지만, 만화에서처럼 몹시 나쁜 결과를 초래할 수도 있습니다 .","The impulsive decision may make the town more economically successful, but it can also have devastating consequences, as in cartoons."
요즘은 건강에 좋은 재료들이 많이 첨가되고 있습니다.,Ingredients good for health is added a lot these days.
폴이 내 차의 밧데리를 교체해 줬어요.,Paul changed my car battery.
나는 할아버지 댁에서 잠자리를 7마리나 잡았어.,I got as many as seven dragonflies at my grandfather's house.
당신은 바퀴에 용량 증가를 적용할지에 대해 최종 확인 부탁드립니다.,Please do the final check about whether you will apply increase Capacity to a wheel.
내년을 준비하기 위해서입니다.,It is to get ready for next year.
수렴 효과를 주어 피부 탄력을 증진 시킵니다.,It improves skin elasticity by providing convergence.
나는 올해에 새로운 것을 하려고 했어요.,I have tried to do something new this year.
"바이어가 통관수속에 어려움이 없도록 ""A""를 속달로 발행해 우편으로 보내주세요.","Issue ""A"" by express and send it by mail so that the buyer has no issue with clearance."
기존문화와 타 문화 간의 혼재 속에서 다문화는 세계적인 추세가 되고 있습니다.,The existing culture and other cultures in a multicultural mix is a global trend.
그리고 나서 나는 시험 기간이라서 도서관을 갔어.,Then I went to the library because it's the exam period.
그것은 전문가의 솜씨였어요.,It's been quite professional.
난 한국에 내 소유의 집이 있어.,I have home in Korea.
저는 디저트 바나나에 누텔라 초코 시럽 찍어서 먹방 찍었어요.,I broadcasted myself eating a dessert banana with Nutella dip.
그 이후에 우린 더 열심히 연구했습니다.,We researched harder after that.
이태원 시장은 일반적으로 한국에서는 입지 않은 큰옷들을 판매하는 옷가게들을 가장 먼저 볼 수 있어요.,"At first glance, Itaewon Market reveals clothing stores selling large clothes that aren't worn that much in Korea."
그런데 동영상이 재생되지 않아서 엄청나게 당황했었습니다.,"However, I was embarrassed because it was not played."
그녀는 최선을 다해 학생을 가르칩니다.,She tried her best to teach her students.
당신은 우리와 대리점 계약을 할 의향이 있는지 묻고 싶습니다.,I'd like to as if you'd like to join us at one of our branch stores.
설날은 음력 1월 1일입니다.,The Lunar New Year's Day is January 1st in the lunar calendar.
"김 씨는 많이 있지만, 한국의 여러 지역에 뿌리를 두고 있습니다.","There are many Kims, but they are rooted in various regions."
저 걱정거리가 하나 있어요.,I have one thing to worry about.
기름으로 변하기 때문에 섞자마자 바로 빼세요.,"Because it will be changed to oil, so take it off immediately after mixing."
당신이 리무진 버스를 탄다면 잠실 롯데호텔에서 내리면 나의 게스트하우스를.,"If you get on the airport limousine, you need to get off at 'Jamsil Lotte Hotel' bus stop and it's around 1 kilometer away to my guest house."
또한 배송 준비 기간도 넉넉한 것을 확인할 수 있었습니다.,"Also, we found out that the preparation time for shipment was enough."
별도의 필요한 서류가 있다면 요청해 주세요.,"If you need additional documents, please ask us."
그녀들은 외모와 성격이 너무 다릅니다.,Those girls are completely different in their appearance and personality.
나는 필리핀을 5년 전에 갔었어요.,I have been to the Philippines 5 years ago.
음식값을 지급하려고 줄 서 있어요.,I'm standing in a line to pay for the food.
저 파프닐을 토벌해주십시오.,Please suppress the Fafnir.
나는 당신이 병원에 가보는 것을 제안할래요.,I suggest you see a doctor.
이 제품의 다른 대체품은 없습니까?,Is there any alternative for this product?
따라서 ‘제품에 따라 정해진 형태와 기능 없다'는 것을 생각할 수 있습니다.,We showed them that no features and functions are determined by the product.
저는 수업을 다 마친 후 저녁을 먹고 9시부터 1시까지 기숙사에 있는 스터디룸에 가서 공부해요.,"After all, class eats dinner and from 9 pm to 1am I study in a study room in the dormitory."
와인은 1층에 보관되어있습니다.,Wine is stored on the first floor.
운전자석 앞에 연락처를 남겨주세요.,Please leave a contact number in front of the driver's seat.
저는 영어 실력이 많이 부족해요.,My English is poor.
가능하다면 우리가 회사 앞으로 데리러 갈게.,"If it's possible, we will pick you up at your office."
이 노래는 오로지 당신을 위한 거예요.,This song is only for you.
"이번 강제 취소에 대한 보상으로, 당신이 저에게 합당한 포인트를 제공해주시길 바랍니다.","As compensation for the forced cancellation this time, I hope you provide reasonable points to me."
나는 이제부터 영어로 대답할 거에요.,I'm going to answer in English from now on.
"이 채널은 엘에이에서부터 뉴욕까지 자동차 여행을 하거나, 어드벤쳐 느낌이 강한 유튜브 채널입니다.",This chaneel is a Youtube channel that includes road trips from LA to New York or has a strong adventurous feel.
"이것은 한국의 인구수에 비해 상당히 많은 수치이며, 우리는 한국에서의 성형수요가 매우 높다는 것을 알 수 있어.","The number is quite large compared to the number of people in Korea, which shows that the demand for plastic surgery is very high in the country."
계단에 고양이 털이 너무 많아서 물청소를 했어요.,I cleaned the stairs with water because there was a lot of cat fur.
"계약 기간을 2년에서 1년으로 변경함에 따라, 리텐션 보너스는 지급하지 않습니다.","As the period of the contract has been changed from 2 years to 1 year, retention bonus is not provided anymore."
다운타운까지 얼마나 걸리나요?,How long does it take to go downtown?
아래는 반품 규정에 의해 상품 구매금액에 일부 공제하여 구매금액을 반환한 것입니다.,The following is a partial deduction for the purchase amount of the product according to the return policy.
방을 분홍색으로 꾸며볼게요.,We'll start decorating Room with Pink.
오늘은 그녀의 생일 전날입니다.,Today is the day before her birthday.
디자인고등학교에서 3년째 패션디자인과를 전공하고 있는 김민지입니다.,I am Minji Kim who is majoring in fashion design for three years at a design high school.
이전에 개봉했던 어벤져스나 아이언맨과 마찬가지로 내내 웃으면서 볼 수 있었어.,"Just like the previous movies the Avengers and Iron Man, there was laughter among the audience throughout the whole movie."
나쁜 일을 하지 말고 착하게 살아야 해.,Live modestly and not to sin.
다음에 캠핑을 하러 가면 자전거를 가져갈 것이에요.,"Next time I go camping, I will take my bicycle."
내가 내일 여기로 그걸 가지고 올게요.,I will bring that here tomorrow.
봄이 되면 여러 가지 꽃들이 피어나.,In spring many flowers come out.
여러분의 꿈도 꼭 이루어지셨으면 좋겠습니다.,I'd like all of you to achieve what you want.
이 노트북 컴퓨터를 산 건 잘한 일 같아요.,I did the right thing when I bought this laptop.
나랑 함께 월요일 오후에 커피 마시러 가자.,Let's go-to drink a cup of coffee with me on Monday afternoon.
당신은 아이튠즈와 연동을 해제하시겠습니까?,Would you like to disconnect from iTunes?
우리 팀은 포기한 것 같아요.,My team seems to have given up.
사장님이랑 얘기할 수 있을까요?,Can I talk with the boss?
우리는 이번 주 안에 샘플을 주문을 할 것이에요.,We will be ordering the samples this week.
너 혹시 과학책 빌려줄 수 있니?,Can you lend me your science book?
당신한테 헤어질 때 인사하기 싫어서 그랬어요.,Because I didn't want to say good-bye to you.
이 글은 철학의 특성 가운데 하나를 국가 그리고 그와 관련한 제도에서 발견하고 있습니다.,This paper finds one the characteristics of philosophy from The Republic and its related system.
강화도에 가장 대표적인 특산물이 무엇인가요?,What is the representative specialty in Ganghwado Island?
배경 소음이 안 들려서 좋아요.,I like it because I can hardly hear the background noise.
수건을 가지고 탕 안에 들어가지 마세요.,Do not go in the bath with a towel.
영수증을 보여 주면 체크 포인트를 통과할 수 있나요?,Can I pass the checkpoint when I show them the receipt?
우리는 20대에서 내구성이 구매 의도에 26.9%의 영향을 미치지만 이를 위해서 제품을 만드는 것은 손해라는 입장입니다.,"We believe that in our 20s, durability affects our purchasing intentions by 26.9%, but it is a loss to make a product for this purpose."
예전에 말했듯이 나다텔에서는 우리를 거치지 않고 너희가 직접 이 건에 대해 문의해주길 원하고 있어.,"As I said before, Nadatel wants you to inquire about this issue to them directly without going through us."
당신에게 걱정을 만들게 해서 정말 죄송합니다.,I am very sorry to make you worry.
월미도에는 유람선과 놀이동산이 있습니다.,There are a cruise ship and an amusement park in Wolmi Island.
"그럼, 그것으로 합시다.","Then, let's try it out."
네가 존경하는 그 선생님은 내 아빠야.,A teacher you respect is my father.
그러나 짐이 많은 관계로 안 된다고 했더니 여직원은 나에게 업그레이드를 권유했습니다.,"But when I told her I couldn't because I had a lot of luggage, the waitress asked me to upgrade."
사람들이 프라이버시 존중을 안 해줘요.,People do not respect privacy.
대중목욕탕은 피로를 풀어주는데 아주 좋아.,The public spa is a very good place to rest up.
이 논문의 목적은 어르신들의 상담에 대한 태도를 파악하는 것입니다.,The purpose of this paper is to understand the elderly's attitudes toward counseling.
우리 너무 졸리니까 가는 길에 커피 사서 가자.,Let's buy coffee on the way because we are so sleepy.
저는 5월16일부터 20일까지 총 4박 5일 동안 머물 계획입니다.,"I am planning to stay for 4 nights and 5 days, from May 16th to 20th."
저는 2호선에 있는 신림에 살고 있습니다.,I live in Shillim on line number 2.
미의 경연 대회에 많은 경쟁자가 있습니다.,There are many contestants in the beauty contest.
그것은 프린터 대여로 인하여 발생되었습니다.,It is caused by the printer rental.
저는 지금 학교에서 5분거리에 위치한 곳에서 자취를 하면 독립심을 기르고 있습니다.,I now live alone 5 minutes away from my school and I'm learning independence.
당신 덕분에 주엽의 영어 실력이 많이 향상되었습니다.,Jooyeop's English skill has improved a lot thanks to you.
내가 언제쯤에 필리핀 가면 될까요?,When should I go to Philippines?
나는 정동진에 도착해서 거리를 걷다가 산을 탔다.,"I arrived at Jeongdongjin, walked along the street and went on hiking."
나에게 가까이 다가온 후 그는 말했습니다.,He spoke to me after he close to me.
저는 용인 수지에서 3년 동안 살았어요.,"I've been living in Suji, Yongin, for 3 years."
여기는 장수한방삼계탕이에요.,It is Jangsu Hanbang Samgyetang.
관세 및 운송비는 저희가 지불하지 않습니다.,The tariffs and transportation costs will not be paid by us.
나는 바닷가로 갈 작정이에요.,I intend to go to the seaside.
미리 샌드위치 같은 것 좀 사시겠어요?,Will you buy some sandwiches or something beforehand?
조선 시대 육조거리는 오늘날 세종로란 이름으로 지명이 바뀌었습니다.,Six Cao Street in Chosun Dynasty has changed its name to Sejongro today.
바울은 자신의 동족들을 그리스도에게로 인도하기를 원했어요.,Paul wanted to direct his race to Christ.
나는 그것이 큰 영향을 미치지 않길 바라.,I wish for it to not have a big effect.
그 남잔 항상 웃고 있지만 친절하진 않아.,That man always smile but he is not kind.
"닉, 이 사람은 제 여자친구 페기예요.","Nick, this is my girlfriend, Peggy."
우리는 나흘에 한 번 과일을 먹어요.,We eat fruits once every three days.
각 나라가 상징하는 많은 건축물이 있습니다.,There are many buildings that symbol each country.
나는 해외 인턴쉽이라는 좋은 기회를 잡았어.,I have got a good opportunity for an internship abroad.
그곳에서 당신의 회사까지 택시비는 얼마나 나오나요?,How much is the taxi fare from there to your company?
급한 일이 있어서 인사도 못 했네요.,"Having busy work, I couldn't say hello to you."
내 친구들은 외로워서 몸부림을 칩니다.,My friends are struggling with loneliness.
"댄스배틀을 보지 못했다면, 꼭 보길바래.","If you haven't watch dance battle, I hope you watch it."
"나는 그가 자신이 맡은 역할을 잘 소화할 수 있을까 걱정했지만, 그것은 쓸모없는 걱정이었어.","I was worried that he might not be able to pull the role off, but my worries were for nothing."
이 교과서는 효율적인 학습을 통해 실질적인 역량을 증진하고자 하는 학습자에 초점을 맞추고 있어.,This textbook focuses on learners who try to enhance their actual capability through efficient learning.
내가 다바오에 가서 당신에게 전화하면 당신을 만날 수 있는지요?,"If I call you when I get to the Dabao, could I meet you?"
우리 회사는 한국의 관광업계 중 선두 업체이며 저희 부서는 회사의 미래 성장을 위한 투자를 담당하고 있습니다.,"Our company is the leader of the Korea tourism industry, and our department is in charge of the investment for the company's future growth."
우리 어제 클럽에서 3시간 정도 기다렸어요.,We waited for 3 hours in the club yesterday.
그동안 댓글을 통해 격려해주신 분들께 너무 감사드립니다.,I would like to thank people who encouraged me through comments.
그가 두 번째 샷을 퍼트하기 좋도록 쳤습니다.,He made his second shot to within easy distance for one putt.
가격이 제 생각보다 비쌉니다.,The price is more expensive than I expected.
2월부터는 지문 등록기를 이용하여 직원들의 출퇴근 기록을 해야 해요.,"Starting in February, we have to record employees' commute by using a fingerprint register."
이 가격은 10년 전에 주었던 돈입니다.,This price is the same as how much I paid 10 years ago.
의사 면허증이나 처방전이 있어야 합니다.,You must get a doctor's certificate or a prescription.
에버랜드 안에는 많은 놀이 기구가 있었습니다.,There are lots of rides in Everland.
당신의 딸은 영어를 잘하는 편인가요?,Is your daughter good at English?
오늘도 당신의 가르침에 감사드립니다.,Thank you for your teaching today as always.
어제 나는 우리 팀 직원들과 연말 회식을 했어요.,I attended the year-end dinner with my team members yesterday.
나는 실력 있는 가이드가 되기 위해서 일본어 공부를 더 열심히 할 거예요.,I will study Japanese harder to be a competent guide.
나는 보통 일기를 쓸 때 이렇게 씁니다.,I usually write like this when I write a diary.
면접에서 좋은 인상을 주기 위해 계속 웃고 있어야 해요.,I had to smile all the time to leave a good impression to the interviews.
모서리가 없는 원형의 중정은 이용객의 시선을 끊임없이 이어주어 광활한 중정의 공간감을 극대화 시켜줄 것이에요.,The circular courtyard without edges will continue their eye endlessly so that it will maximize the sense of space of the vast courtyard.
이제 제가 왜 그를 존경하는지 말해줄게요.,Now I'll tell you why I respect him.
대학에 입학한 뒤로 다양한 수업을 수강했습니다.,I took various classes after entering university.
여러가지 코스들에 대해 물어보고 내가 무엇을 잘하고 좋아하는지 알아보았습니다.,I asked questions about various courses and explored what I am good at and found of.
"나는 여자 친구가 당신뿐인데, 당신은 많은 남자 친구를 가지고 있잖아요.","You are my only female friend, but you have many male friends."
저는 영어 공부하고 싶어요.,I want to study English.
옷을 16개 다림질하느라 힘들어요.,It is so tiring to iron out 16 suit of clothes.
다들 기념일에 대해서 많은 생각을 하고 있구나!,It seems like everybody has many thoughts of the anniversary.
이들을 관리하는데는 감정과 공포가 아닌 이해와 절제된 규칙이필요하다고 생각해요.,There should be understandings and refined rules instead of emotional judgements and fears to control them.
꿈 깨고 공부나 계속 하세요.,Quit fantasizing and just continue studying.
이 사진은 집 안 거실 혹은 커피숍에서 촬영됐어요.,This picture was taken in a living room or a cafe.
그리고 목표를 어떻게 세워야 할지도 모르겠다고 했지.,"Furthermore, you said you had no idea how to set goals."
그건 내 생각과는 조금 달라.,It is a little bit different from my opinion.
이것은 독채 렌트하우스입니다.,It is a separate rental house.
나 오늘 그 남자랑 연락했어.,I've had contact with him today.
"복사된 서버는 당신 회사의 서버와 ""SYNC"" 를 중지해달라는 겁니다.","The server which is pasted should be stopped ""SYNC"" with your company's server."
고구마는 쌀이나 밀가루보다 낮은 칼로리를 가지고 있어요.,Sweet potatoes are lower in calories than rice or flour.
당신의 운명을 사랑하십시오.,Cherish your fate.
오늘은 점심에 일본 라면을 먹었어요.,I had a Japanese ramyeon for lunch today.
"아직 안 끝났어, 하지만 곧 결과가 나올 거야.","Not done yet, but the result will be out soon."
우리가 교육용 제품 C 구매 할 수 있나요?,Can we purchase educational product C?
오랜만에 연락이 되니 보고 싶네요.,Talking to you after a long while makes me miss you.
네가 보내준 청구서로는 통관이 어려워.,Clearance is difficult with the invoice you sent me.
7번 박스의 경우는 오토바이로 배달할지 아님 포장 후 트럭으로 배달할지 아직 결정되지 않았습니다.,Whether box number 7 will be delivered by a motorcycle or truck after wrapping has not been decided yet.
"한라산은 제주도의 중앙에 위치해 있으며, 높이가 1,950m로 한국에서 가장 높은 산입니다.","Hallasan is located in the center of Jeju Island and is the tallest mountain in South Korea with a height of 1,950m."
오늘은 사장님이 부재중으로 내일 보내 주겠다.,I'll send it to you tomorrow because the boss is not in.
따라서 학교는 신중하게 결정을 할 필요가 있습니다.,"At this point, the school has to be careful about the decision."
